[ 2015-02-11T00:00:37+08:00 ] /thinkphpTest/admin.php/Memo/index | INFO: Tag[ route_check ] --START--
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000645s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | SQL: SHOW COLUMNS FROM `think_memo` [ RunTime:0.008731s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | SQL: SELECT * FROM `think_memo` WHERE id=6 LIMIT 1   [ RunTime:0.035157s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Tag[ view_template ] --START--
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Run LocationTemplate Behavior [ RunTime:0.001070s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001131s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Tag[ view_parse ] --START--
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | NOTIC: [8] Undefined index:  dashboard d0cc88df1229a2e1d495c65057792085.php 第 38 行.
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | NOTIC: [8] Undefined index:  new_memo d0cc88df1229a2e1d495c65057792085.php 第 46 行.
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | NOTIC: [8] Undefined index:  manage_memo d0cc88df1229a2e1d495c65057792085.php 第 47 行.
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | NOTIC: [8] Undefined index:  article d0cc88df1229a2e1d495c65057792085.php 第 52 行.
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | NOTIC: [8] Undefined index:  new_article d0cc88df1229a2e1d495c65057792085.php 第 54 行.
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | NOTIC: [8] Undefined index:  manage_article d0cc88df1229a2e1d495c65057792085.php 第 55 行.
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | NOTIC: [8] Undefined index:  manage_draft d0cc88df1229a2e1d495c65057792085.php 第 56 行.
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Run ParseTemplate Behavior [ RunTime:0.013979s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014068s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Tag[ view_filter ] --START--
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Run ContentReplace Behavior [ RunTime:0.000470s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Run TokenBuild Behavior [ RunTime:0.000545s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000401s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Run ShowRuntime Behavior [ RunTime:0.001604s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003249s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Tag[ view_end ] --START--
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000615s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000708s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Tag[ route_check ] --START--
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Run CheckRoute Behavior [ RunTime:0.001180s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.001376s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --START--
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000855s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000977s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | SQL: SHOW COLUMNS FROM `think_memo` [ RunTime:0.006624s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | SQL: SELECT * FROM `think_memo` WHERE id=resources LIMIT 1   [ RunTime:0.011408s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Tag[ view_template ] --START--
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.000929s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.001027s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --START--
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | NOTIC: [8] Undefined index:  dashboard d0cc88df1229a2e1d495c65057792085.php 第 38 行.
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | NOTIC: [8] Undefined index:  new_memo d0cc88df1229a2e1d495c65057792085.php 第 46 行.
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | NOTIC: [8] Undefined index:  manage_memo d0cc88df1229a2e1d495c65057792085.php 第 47 行.
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | NOTIC: [8] Undefined index:  article d0cc88df1229a2e1d495c65057792085.php 第 52 行.
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | NOTIC: [8] Undefined index:  new_article d0cc88df1229a2e1d495c65057792085.php 第 54 行.
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | NOTIC: [8] Undefined index:  manage_article d0cc88df1229a2e1d495c65057792085.php 第 55 行.
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | NOTIC: [8] Undefined index:  manage_draft d0cc88df1229a2e1d495c65057792085.php 第 56 行.
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.015499s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015601s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Run ContentReplace Behavior [ RunTime:0.000744s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Run TokenBuild Behavior [ RunTime:0.000963s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000574s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.001771s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004388s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Tag[ view_end ] --START--
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.000655s ]
[ 2015-02-11T00:00:38+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.000775s ]
[ 2015-02-11T00:00:47+08:00 ] /thinkphpTest/admin.php/Memo/update | INFO: Tag[ route_check ] --START--
[ 2015-02-11T00:00:47+08:00 ] /thinkphpTest/admin.php/Memo/update | INFO: Run CheckRoute Behavior [ RunTime:0.001745s ]
[ 2015-02-11T00:00:47+08:00 ] /thinkphpTest/admin.php/Memo/update | INFO: Tag[ route_check ] --END-- [ RunTime:0.002056s ]
[ 2015-02-11T00:00:47+08:00 ] /thinkphpTest/admin.php/Memo/update | INFO: Tag[ app_begin ] --START--
[ 2015-02-11T00:00:47+08:00 ] /thinkphpTest/admin.php/Memo/update | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000842s ]
[ 2015-02-11T00:00:47+08:00 ] /thinkphpTest/admin.php/Memo/update | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000894s ]
[ 2015-02-11T00:00:47+08:00 ] /thinkphpTest/admin.php/Memo/update | SQL: SHOW COLUMNS FROM `think_memo` [ RunTime:0.004087s ]
[ 2015-02-11T00:00:47+08:00 ] /thinkphpTest/admin.php/Memo/update | SQL: UPDATE `think_memo` SET `keyword`='js不起作用',`content`='new memo页面js不起作用',`lastModifyTime`='2015-02-11 00:00:47' WHERE id={memo_item.id} [ RunTime:0.042742s ]
[ 2015-02-11T00:00:47+08:00 ] /thinkphpTest/admin.php/Memo/update | INFO: Tag[ view_template ] --START--
[ 2015-02-11T00:00:47+08:00 ] /thinkphpTest/admin.php/Memo/update | INFO: Run LocationTemplate Behavior [ RunTime:0.001358s ]
[ 2015-02-11T00:00:47+08:00 ] /thinkphpTest/admin.php/Memo/update | INFO: Tag[ view_template ] --END-- [ RunTime:0.001439s ]
[ 2015-02-11T00:00:47+08:00 ] /thinkphpTest/admin.php/Memo/update | INFO: Tag[ view_parse ] --START--
[ 2015-02-11T00:00:47+08:00 ] /thinkphpTest/admin.php/Memo/update | INFO: Run ParseTemplate Behavior [ RunTime:0.011436s ]
[ 2015-02-11T00:00:47+08:00 ] /thinkphpTest/admin.php/Memo/update | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011534s ]
[ 2015-02-11T00:00:47+08:00 ] /thinkphpTest/admin.php/Memo/update | INFO: Tag[ view_filter ] --START--
[ 2015-02-11T00:00:47+08:00 ] /thinkphpTest/admin.php/Memo/update | INFO: Run ContentReplace Behavior [ RunTime:0.000777s ]
[ 2015-02-11T00:00:47+08:00 ] /thinkphpTest/admin.php/Memo/update | INFO: Run TokenBuild Behavior [ RunTime:0.001193s ]
[ 2015-02-11T00:00:47+08:00 ] /thinkphpTest/admin.php/Memo/update | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000718s ]
[ 2015-02-11T00:00:47+08:00 ] /thinkphpTest/admin.php/Memo/update | INFO: Run ShowRuntime Behavior [ RunTime:0.001208s ]
[ 2015-02-11T00:00:47+08:00 ] /thinkphpTest/admin.php/Memo/update | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004170s ]
[ 2015-02-11T00:00:47+08:00 ] /thinkphpTest/admin.php/Memo/update | INFO: Tag[ view_end ] --START--
[ 2015-02-11T00:00:47+08:00 ] /thinkphpTest/admin.php/Memo/update | INFO: Run ShowPageTrace Behavior [ RunTime:0.000759s ]
[ 2015-02-11T00:00:47+08:00 ] /thinkphpTest/admin.php/Memo/update | INFO: Tag[ view_end ] --END-- [ RunTime:0.000812s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Tag[ route_check ] --START--
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Run CheckRoute Behavior [ RunTime:0.000759s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000866s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Tag[ app_begin ] --START--
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000426s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000477s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | SQL: SHOW COLUMNS FROM `think_memo` [ RunTime:0.004888s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | SQL: SELECT * FROM `think_memo` WHERE id=6 LIMIT 1   [ RunTime:0.005075s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Tag[ view_template ] --START--
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Run LocationTemplate Behavior [ RunTime:0.001789s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001923s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Tag[ view_parse ] --START--
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | NOTIC: [8] Undefined index:  dashboard d0cc88df1229a2e1d495c65057792085.php 第 38 行.
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | NOTIC: [8] Undefined index:  new_memo d0cc88df1229a2e1d495c65057792085.php 第 46 行.
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | NOTIC: [8] Undefined index:  manage_memo d0cc88df1229a2e1d495c65057792085.php 第 47 行.
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | NOTIC: [8] Undefined index:  article d0cc88df1229a2e1d495c65057792085.php 第 52 行.
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | NOTIC: [8] Undefined index:  new_article d0cc88df1229a2e1d495c65057792085.php 第 54 行.
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | NOTIC: [8] Undefined index:  manage_article d0cc88df1229a2e1d495c65057792085.php 第 55 行.
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | NOTIC: [8] Undefined index:  manage_draft d0cc88df1229a2e1d495c65057792085.php 第 56 行.
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Run ParseTemplate Behavior [ RunTime:0.013299s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013393s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Tag[ view_filter ] --START--
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Run ContentReplace Behavior [ RunTime:0.000396s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Run TokenBuild Behavior [ RunTime:0.000511s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000985s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Run ShowRuntime Behavior [ RunTime:0.000974s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003085s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Tag[ view_end ] --START--
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000358s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/6 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000407s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Tag[ route_check ] --START--
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Run CheckRoute Behavior [ RunTime:0.001326s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.001553s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --START--
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000879s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001012s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | SQL: SHOW COLUMNS FROM `think_memo` [ RunTime:0.009841s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | SQL: SELECT * FROM `think_memo` WHERE id=resources LIMIT 1   [ RunTime:0.016621s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Tag[ view_template ] --START--
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.000939s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.001058s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --START--
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | NOTIC: [8] Undefined index:  dashboard d0cc88df1229a2e1d495c65057792085.php 第 38 行.
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | NOTIC: [8] Undefined index:  new_memo d0cc88df1229a2e1d495c65057792085.php 第 46 行.
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | NOTIC: [8] Undefined index:  manage_memo d0cc88df1229a2e1d495c65057792085.php 第 47 行.
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | NOTIC: [8] Undefined index:  article d0cc88df1229a2e1d495c65057792085.php 第 52 行.
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | NOTIC: [8] Undefined index:  new_article d0cc88df1229a2e1d495c65057792085.php 第 54 行.
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | NOTIC: [8] Undefined index:  manage_article d0cc88df1229a2e1d495c65057792085.php 第 55 行.
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | NOTIC: [8] Undefined index:  manage_draft d0cc88df1229a2e1d495c65057792085.php 第 56 行.
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.016473s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016578s ]
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
[ 2015-02-11T00:00:48+08:00 ] /thinkphpTest/admin.php/Memo/edit/id/resources/images/closelabel.gif | INFO: Run ContentReplace Behavior [ RunTime:0.000593s ]
